"ID","Requirement Description","Design Reference","Implementation Component","Verification Method","Validation Result","Version","Notes"
"R-001","Calibrated AI likelihood with abstain window and caps","Calibration logic (bands & thresholds)","scan → calibration()","Functional test: 200–400 tokens; check bar color + abstain range","Validated","v0.3.3","Expect 0.35–0.65 band behavior"
"R-002","Expose per-token ranks and probabilities","Per-token scoring output","scan → renderTokenTable()","Visual check: ranks & probabilities with 2–4 decimals","Validated","v0.3.3","Confidence transparency"
"R-003","Stylometry summary (function words, hapax, punctuation entropy)","Stylometry module","scan → stylometry_report()","Cross-check vs baselines; deltas within ±5%","Validated","v0.3.3","Human readability"
"R-004","Nonsense guard (rhyme, meter CV, invented ratio, lex hits, semantic discontinuity)","NonsenseGuard()","scan → sanitizeInput()","Inject rhyme/gibberish; expect lower confidence or abstain","Validated","v0.3.3","Protects against synthetic mimicry"
"R-005","Explainability (headline, why, how-to-fix, notes)","ExplainBuilder()","scan → explain_panel()","Manual inspection for contextually correct summary","Validated","v0.3.3","Transparency"
"R-006","Runtime settings persisted server-side","ConfigService","/config GET/POST","Change caps/abstain/mode → reload → values persist","Validated","v0.3.3","Session continuity"
"R-007","Mode override per scan (Balanced/Strict/Academic)","RequestParser() + ModeSelector","scan mode flag","Select mode; verify echoed in output","Validated","v0.3.3","User control"
"R-008","Live verification quick match (stylometry cosine)","LiveVerification module","client/liveDrawer.js","Type 90s sample; match % and deltas listed","Validated","v0.3.3","Instant feedback"
"R-009","PD fingerprint centroid visibility","PDFingerprintBadge + Explain note","/version + /pd_fingerprints/","Run with/without centroids; badge + note state","Validated","v0.3.3","PD: none (amber) vs PD: N (green)"
"R-010","Version/model/device metadata in header","VersionService","/version → header","Load UI; verify v#, model, dtype, ensemble","Validated","v0.3.3","Traceable runtime identity"
"R-011","Explain panel note when PD centroids missing","ExplainBuilder()","explain_panel.js","Run w/o PD; PD note appears in Explain section","Validated","v0.3.3","UX completeness"
"R-012","Response schema integrity","API Contract","app.py endpoints","Unit test keys vs spec (verdict, explain, stylometry, etc.)","Validated","v0.3.3","Backend consistency"
